Date,District,Address,Transaction Price,Sq Price,Area,Source,Link
2025-11-17,Quarry Bay,"Flat 34, 1/F, Yick Fat Building",HKD$2.026 Millions,"@$5,209",389ft²,LAND,https://www.28hse.com/en/estate/detail/yick-fat-building-5150/transaction/deal-1471745
2025-11-16,Tung Chung,"Flat E, High, Tower 5, The Visionary","HKD$29,000 ",@$29,990ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-visionary-8256/transaction/rent/deal-1472581
2025-11-16,Tai Wai,"Flat D, Middle, Tower 7 (7a), Phase 2","HKD$21,500 ",@$66,324ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-pavilia-farm-27180/transaction/rent/deal-1472558
2025-11-16,Yuen Long,"Flat F, Middle, Tower 2, Residence 譽88","HKD$15,000 ",@$32,463ft²,CENTANET,https://www.28hse.com/en/estate/detail/residence88-7863/transaction/rent/deal-1472433
2025-11-16,Tai Wo,"Flat A, High, Block 06, Phase 1","HKD$15,500 ",@$35,440ft²,MIDLAND,https://www.28hse.com/en/estate/detail/serenity-park-4130/transaction/rent/deal-1472389
2025-11-16,Tsim Sha Tsui,"Flat F, High, The Masterpiece","HKD$62,000 ",@$52,"1,182ft²",MIDLAND,https://www.28hse.com/en/estate/detail/the-masterpiece-5236/transaction/rent/deal-1472273
2025-11-16,Kai Tak,"Flat J, High, Tower 1, Upper Riverbank","HKD$24,000 ",@$50,479ft²,CENTANET,https://www.28hse.com/en/estate/detail/upper-river-bank-23150/transaction/rent/deal-1472259
2025-11-16,Taikoo Shing,"Flat D, Middle, Wai Sing Mansion, Sing Fai Terrace","HKD$21,000 ",@$42,502ft²,MIDLAND,https://www.28hse.com/en/estate/detail/taikoo-shing-1140/transaction/rent/deal-1472234
2025-11-16,Lohas Park,"Flat C10, Middle, Tower 2, Manor Hill","HKD$14,000 ",@$49,287ft²,CENTANET,https://www.28hse.com/en/estate/detail/manor-hill-23721/transaction/rent/deal-1472065
2025-11-16,Tuen Mun,"Flat C, High, Dragor Tower 2, Phase 3a","HKD$12,500 ",@$42,301ft²,CENTANET,https://www.28hse.com/en/estate/detail/novo-land-27941/transaction/rent/deal-1472001
2025-11-16,Tai Wai,"Flat 5, Low, Golden Glory Court (block E), Phase 1","HKD$11,600 ",@$44,266ft²,CENTANET,https://www.28hse.com/en/estate/detail/golden-lion-garden-4094/transaction/rent/deal-1471968
2025-11-15,Mei Foo,"Flat H, Middle, Block 3","HKD$27,000 ",@$47,576ft²,MIDLAND,https://www.28hse.com/en/estate/detail/manhattan-hill-2522/transaction/rent/deal-1471103
2025-11-15,Tsim Sha Tsui,"Flat F, Middle, Tower 2, The Victoria Towers","HKD$43,500 ",@$50,874ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-victoria-towers-2950/transaction/rent/deal-1471102
2025-11-15,Lam Tin,"Flat A, Middle, Block 4, Phase 1","HKD$24,000 ",@$32,748ft²,CENTANET,https://www.28hse.com/en/estate/detail/laguna-city-2000/transaction/rent/deal-1471101
2025-11-15,Lam Tin,"Flat B, Middle, Block 4, Phase 1","HKD$16,000 ",@$31,517ft²,CENTANET,https://www.28hse.com/en/estate/detail/laguna-city-2000/transaction/rent/deal-1471100
2025-11-15,Kowloon Bay,"Flat C, Middle, Block 06","HKD$14,000 ",@$34,407ft²,MIDLAND,https://www.28hse.com/en/estate/detail/richland-gardens-2082/transaction/rent/deal-1471099
